question,response
likert,"{""python_level"": 2, ""ml_level"": 1, ""nlp_level"": 1, ""pm_level"": 4, ""etl_level"": 1, ""comms_level"": 5, ""da_analysis_level"": 5, ""da_viz_level"": 5, ""da_biz_level"": 5}"
free_text,
ambitions,
proj_tech,
prob_complex,
model_build,
projection,data analyst senior
guided,"{""has_prod_model"": ""non"", ""works_team"": ""oui"", ""big_data"": ""oui"", ""prod_app"": ""non"", ""advanced_nlp"": ""non"", ""collab_business"": ""oui""}"
qcm_single,quotidienne
qcm_multi,"[""sql"", ""powerbi"", ""tableau""]"
checkbox_skills,"[""visualisation de données""]"
